id,latitud,longitud
3589,51.5240008,-0.1051069
3553,-34.8778664,138.5854825
3630,41.3966121,2.1944236
1455,51.5561389,-0.1362975
3643,39.5849207946,19.889588356
2545,-33.418812,-70.61807
3502,41.3841681,2.1591831
3888,41.3840659,2.159354
3960,41.374877,2.158644
3820,41.396867,2.194351
3413,50.8388058,4.374397
2541,51.5,-0.15
3790,41.3842517,2.1589532
1060,39.0674567,-77.082438
3695,39.140098,-96.6745146
3079,50.9354836,-0.1808379
4200,51.2685701,1.0936676
3528,-23.6062335,-46.6616283
2540,51.5073509,-0.1277583
3632,44.419244,26.0945155
3436,47.4898329642,-0.523223876953
3509,41.3841838,2.1591416
3611,40.5704146095,19.5199584961
3351,32.8131407,-117.2043712
1527,45.7039207637,13.7198797923
3453,51.433169841,0.104595422745
2118,40.452165,-3.726103
3484,55.6075039,13.0099583
3437,51.5239460432,-0.105322541307
1799,48.8353101786,2.38533139229
3429,-33.4321724,-70.6580268
3494,51.0643645653,3.72410774231
3209,51.0372382683,-114.083297253
3736,-32.5097617359,-71.1584472656
3814,41.3966908,2.1943796
1966,52.09161,5.05292
889,49.0145423,12.1008559
4238,45.5837331,-73.6301905
3452,51.5236710728,-0.106043815613
3653,9.91377153047,-84.037733674
3639,55.6824748,12.593159
2045,40.4530764431,-3.72623205185
3920,41.3971392,2.2013151
3192,41.4064387,2.1943639
2388,28.5532118,77.1744823
3470,42.2707038126,3.33572387695
109,41.41608,2.15765
2705,51.1097934772,17.0312654972
892,-23.561399,-46.730789
3634,55.6824742,12.593208
3483,55.6075702,13.0099124
3334,41.3965608,2.1944249
981,53.4870548437,-2.23971445747
3059,-33.3727030903,-70.5804848671
3701,39.1836082,-96.5716694
3545,55.6850003283,12.5930678844
3637,55.6824931,12.5931353
1824,41.4552232587,2.25030899048
1669,50.8386290539,-0.113423732918
3508,41.3902035341,2.16809391975
2046,19.3437444,-99.1561883
3849,41.3965397155,2.15312720111
3583,41.3965692,2.1945103
425,43.2882003,-2.8568317
3566,55.7423752,37.6096012
3543,41.3897113,2.1129607
3498,46.0098431217,8.95590662956
2389,41.4108701615,2.15087413788
3867,41.3827658034,2.1814379096
3713,54.9850395,-1.6076633
3845,41.4009066,2.1490478
1354,50.8924597924,5.97113907337
3674,52.3747083994,4.86723303795
3586,51.5239447629,-0.105021893978
1373,25.1882142456,55.2974939346
3651,55.6825037,12.5930592
4079,51.451506,5.4822485
4067,41.3768417,2.1906698
4004,41.406312,2.152591
3559,51.2123777,-0.3311374
678,41.4533764,-93.7992447
3607,43.6700445811,-79.3833231926
1963,41.3967077,2.1943137
3565,41.3965877,2.1944993
1939,50.0358220655,36.3488674164
